codigo_estacion,01201005,01001005,01202009,01202012,01202010,01020017,01020018,01010010,01300004,01211006,01310018,01310021,01021007,01310022,01310019,01310020,01030003,01410011,01410012,01502006,01041003,01730018,01050007,01740002,01700010,01051003,01700008,01700009,02113005,01080001,02000001,02020001,02101003,02112008,02020002,02103008,02103009,02104008,02104009,02103010,02105016,02105015,02105017,02105018,02105020,02105021,02104010,02105022,02112009,02110013,02700001,02510006,02500016,02710002,02500019,02710003,02500020,02660001,02942001,03450004,03430007,03430006,03701001,03414002,03826003,03825004,03823004,03823002,03800000,03820004,03806002,03815004,03802006,03802005,03804005,04120001,04335002,04308001,04302001,04302014,04308003,04323007,04321001,04400002,04311005,04301005,04502005,04502004,04506007,04551004,04557001,04540006,04523004,04537003,04513004,04511004,04535001,04511003,04531002,04530001,04722001,04723001,04726003,04710001,04810003,04700002,04902002,05200006,05401007,05410002,05410006,05426004,05427007,05733008,05732002,05427006,05510002,05720003,05722002,05730012,05744002,05730015,05730039,05703011,05703009,05711003,05703008,05740005,05701008,05716005,05701005,06011003,06015003,06013005,07120002,06034003,06020001,07118003,07116005,07384002,07381003,07381002,07378002,07379002,07378003,07321002,07358007,07317001,07317005,07355007,07301000,07301001,07345001,07331002,07314002,08113001,08105004,08105003,08130006,08372001,08318002,08317006,08358002,08358003,08358005,08351003,08822008,08353001,08307002,08350002,09105002,08304004,09120002,09120003,09124001,08301001,09130001,09129005,09129006,09153001,09401001,09403001,09135003,09438001,09417002,09420002,09412002,09412003,10123006,10100002,10307001,10360002,10322002,10410005,10432004,10901002,10901003,11043001,11041001,11031001,11120001,11140001,11143003,11147003,11180000,11304001,11300001,11302002,11307002,11342002,11316004,11317005,11316003,11505001,11511001,11513001,11521002,11523001,11532000,11536004,11536003,11541000,11546001,11711000,11700001,11701002,11702000,12000000,11704001,12125001,12280004,12283004,12283001,12284006,12286001,12284010,12293001,12680001,12620000,12403000,12540001,12622002,12452002,12452001,12806005,12806004,12449001,12448001,12586004,12586009,12809001,12815001,12863001,12873001,12876002,12876003,12930001,180005,200006,230001,270008,290004,330020,340031,360011,360019,380013,390006,400009,410005,450001,450004,450005,460001,470001,520006,550001,950001,220002,270001,330021,330019,330031,330030,370033,420004,430002,430004,510005,530005
institucion,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DMC,DMC,DMC,DMC,DMC,DMC,DMC,DMC,DMC,DMC,DMC,DMC,DMC,DMC,DMC,DMC,DMC,DMC,DMC,DMC,DMC,DMC,DMC,DMC,DMC,DMC,DMC,DMC,DMC,DMC,DMC,DMC,DMC
fuente,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dmc_merge,dmc_merge,dmc_merge,dmc_merge,dmc_merge,dmc_merge,dmc_merge,dmc_merge,dmc_merge,dmc_merge,dmc_merge,dmc_merge,dmc_merge,dmc_merge,dmc_merge,dmc_merge,dmc_merge,dmc_merge,dmc_merge,dmc_merge,dmc_merge,dmc_web,dmc_web,dmc_web,dmc_web,dmc_web,dmc_web,dmc_web,dmc_web,dmc_web,dmc_web,dmc_web,dmc_web
nombre,Rio Caracarani En Humapalca,Caquena,Pacollo,Putre (Dcp),Putre,Parinacota Ex Endesa,Chucuyo (Ex. Endesa),Chungara Ajata,Murmuntane,Lluta,Arica Oficina,U. Del Norte,Guallatire,El Buitre Aerodromo,Azapa,La Rivera,Chilcaya,Chaca,Codpa,Cuya,Colchane (T. Isluga),Lagunillas (Pampa Lirima),Coyacagua,Cerro Colorado,Huara En Fuerte Baquedano,Salar Huasco,Esmeralda,Coposa,Guatacondo Dga,Ujina,Ollague,Cebollar,Lequena,Quillagua,Ascotan,Parshall N 2,Ojos San Pedro,Conchi Embalse,Conchi Muro Embalse,Inacaliri,Linzor,Turi,Toconce,Ayquina,Salado Embalse,Caspana,Chiu-Chiu,El Tatio,Coya Sur,Calama,Sierra Gorda,San Pedro De Atacama,Toconao Experimental,Baquedano,Socaire,Antofagasta,Peine,Monturaqui,Aguas Verdes,Copiapo,Los Loros,Lautaro Embalse,Canto De Agua,Iglesia Colorada,Huasco Bajo,Freirina,La Compaia (Vallenar),Vallenar Dmc,Portezuelo El Gaucho,Santa Juana,El Transito,San Felix,Conay En Albaricoque,Conay,El Parral,El Trapiche,La Serena (Escuela Agricola),Rio Turbio En Varillar,Rio Toro Antes Junta Rio La Laguna,Juntas,Rivadavia,Almendral,Puclaro Embalse,Pan De Azucar,La Ortiga,La Laguna Embalse,Hurtado,La Cortadera,Recoleta Embalse,Ovalle (Escuela Agricola),Salala,Paloma Embalse,Puntilla San Juan,El Tome,Caren,Cerro Vega Negra,Cogoti Embalse,Las Ramadas,Rio Cogoti Entrada Embalse Cogoti,Rio Cogoti En Fraguita,Santa Virginia,Rio Illapel En Huintil,Illapel Dga,La Tranquilla,Caimanes,El Soldado,Los Condores,Alicahue,Portillo,Rio Aconcagua En Chacabuquito,Vilcuya,Quillota,Los Aromos,Rungue Embalse,Huechun Andina,Lliu-Lliu Embalse,Lago Peuelas,La Ermita Central En Bocatoma,Rio Mapocho En Los Almendros,Cerro Calan,Los Panguiles,Campus San Joaquin U.C.,Quebrada De Macul,Glaciar Echaurren,Laguna Negra,Pirque,El Yeso Embalse,Melipilla,Queltehues,Laguna Aculeo,Las Melosas,Graneros,Rengo,Popeta,Laguna De Torca,Convento Viejo,Termas Del Flaco,Curico,Potrero Grande,Constitucion,Pencahue,Fundo El Peral,Talca U.C.,Rio Claro En Rauquen,Colorado,Rio Maule En Armerillo,Linares,Rio Melado En La Lancha Dga,Rio Melado En El Salto,Ancoa Embalse,Lo Aguirre,Los Condores,Parral,Digua Embalse,Guayquivilo,Coihueco Embalse,Caracol,La Punilla,Diguillin,Alto Mallines,Quilaco,Embalse Central Angostura,Angol (La Mona),El Vergel (Angol),Parque Nahuelbuta,Collipulli,Contulmo,Ercilla (Vida Nueva),Rio Bio-Bio En Llanquen,Laguna Malleco,Traiguen,Lonquimay,Manzanar,Malalcahuello,Lautaro,Liucura,Cherquenco,Pueblo Nuevo (Temuco),Temuco Centro,Puerto Saavedra,Tricauco,Cunco,Freire Sendos,Teodoro Schmitd,Ojos Del Caburgua,Pucon,Curarrehue,Puesco (Aduana),Valdivia (U. Austral),Rio Fui En Desage Lago Pirihueico,Lago Ranco,Adolfo Matthei,Anticura,La Ensenada,Pelluco (U. Austral),Castro 1 (Dga),Chonchi,Marin Balmaceda,La Junta,Lago Verde,Puerto Puyuhuapi,Rio Cisnes,La Tapera,Puerto Cisnes,Islas Huichas,Villa Maihuales,Estancia Bao Nuevo,Irehuao,Villa Ortega,Puerto Aysen,Coyhaique Alto,Coyhaique Conaf,Coyhaique (Escuela Agricola),Rio Ibaez En Desembocadura,Puerto Ibaez,Bahia Murta,Chile Chico,Puerto Guadal,Rio Nef Antes Junta Estero El Revalse,Rio Baker En Angostura Chacabuco,Aerodromo Cochrane,Rio Colonia En Nacimiento,Caleta Tortel,Rio Pascua Ante Junta Rio Quetru,Rio Mayer Reten,Villa Ohiggins,Lago Ohiggins En Villa Ohiggins,Glaciar Tempano,Candelario Mancilla,Puerto Eden,Lago Dickson,Laguna Azul,Cerro Guido,Rio Las Chinas En Cerro Guido,Torres Del Paine,Cerro Castillo,Puerto Natales,Monte Aymond,Penitente Alto,Seno Obstruccin,Ohiggins Villa,Villa Tehuelche,Rio Perez,Rio Perez En Desembocadura,Sarita En Bahia San Felipe,Bahia San Felipe,Isla Riesco,Rio Grande En Isla Riesco,Punta Arenas,Canal De Trasvase Estero Llau-Llau,Porvenir,Onaisin En Maria Cristina,San Sebastian,Russfin,Seccion Rio Grande,Pampa Huanaco,Rio Robalo En Puerto Williams,Chacalluta Arica Ap.,Diego Aracena Iquique Ap.,Cerro Moreno Antofagasta Ap.,Desierto De Atacama Caldera Ap.,La Florida La Serena Ad.,Quinta Normal Santiago,General Freire Curico Ad.,Bernardo O'Higgins Chillan Ad.,Carriel Sur Concepcion.,Maquehue Temuco Ad.,Pichoy Valdivia Ad.,Canal Bajo Osorno Ad.,El Tepual Puerto Montt Ap.,Puerto Aysen Ad.,Teniente Vidal Coyhaique Ad.,Balmaceda Ad.,Chile Chico Ad.,Lord Cochrane Ad.,Punta Arenas,Guardia Marina Zanartu Pto Williams Ad.,Eduardo Frei Montalva Antartica,El Loa Calama Ad.,Mataveri Isla De Pascua Ap.,Pudahuel Santiago,Eulogio Sanchez Tobalaba Ad.,Juan Fernandez Estacion Meteorologica,Santo Domingo Ad.,Maria Dolores Los Angeles Ad.,Chaiten Ad.,Futaleufu Ad.,Alto Palenaad.,Teniente Gallardo Puerto Natales Ad.,Fuentes Martinez Porvenir Ad.
altura,3908,4400,4185,3560,3545,4420,4400,4585,3550,290,20,55,4240,110,365,310,4270,350,1870,200,3700,4020,4013,2510,1100,3800,1115,3760,2460,4300,3700,3730,3320,802,3970,3318,3800,3010,3000,4040,4100,3070,3310,3031,3200,3260,2524,4370,1250,2300,1616,2450,2500,1032,3251,50,2460,3430,1560,385,940,1110,330,1550,50,100,430,535,4000,560,1100,1150,1600,1450,1400,300,15,890,2165,2150,820,370,460,100,1560,3160,1100,920,350,340,100,320,430,420,740,3600,740,1380,670,1065,980,775,290,1000,450,3290,190,750,3000,950,1100,130,100,700,590,260,360,1350,966,848,190,570,950,3850,2780,659,2475,168,1450,360,1527,500,310,480,28,239,2650,195,445,10,55,110,130,64,420,470,157,650,730,421,2000,2172,175,390,1200,314,610,840,670,1770,231,324,113,75,1177,240,41,262,767,894,234,931,790,950,200,1043,500,119,122,5,520,380,100,13,300,230,420,620,10,600,100,55,350,62,25,50,30,10,45,350,10,740,550,10,6,150,700,535,550,10,730,340,343,220,215,240,215,210,281,160,200,146,10,20,450,270,300,20,300,10,200,240,230,75,25,130,45,160,290,4,70,190,5,20,15,10,10,5,5,80,35,30,20,225,130,150,80,63,52,113,204,142,527,225,151,12,92,21,61,85,10,310,517,306,204,38,10,1,2293,48,482,650,35,75,120,10,347,281,69,27
latitud,-17.8428,-18.0542,-18.1769,-18.195,-18.1992,-18.2042,-18.2181,-18.2353,-18.3519,-18.4103,-18.4775,-18.4833,-18.4983,-18.5119,-18.5156,-18.5283,-18.7939,-18.8169,-18.8322,-19.1117,-19.2764,-19.9333,-20.0531,-20.065,-20.1308,-20.2761,-20.4842,-20.7086,-20.9272,-20.9714,-21.2233,-21.5311,-21.6553,-21.6603,-21.7253,-21.9428,-21.9706,-22.025,-22.0267,-22.0278,-22.2297,-22.2408,-22.2592,-22.2753,-22.2856,-22.3367,-22.3378,-22.3711,-22.3939,-22.4494,-22.8892,-22.9053,-23.1889,-23.3336,-23.5869,-23.5975,-23.6842,-24.3414,-25.4,-27.3772,-27.8317,-27.9783,-28.0992,-28.1572,-28.4725,-28.5072,-28.5761,-28.5936,-28.6231,-28.6672,-28.8731,-28.9311,-28.9519,-28.975,-28.9797,-29.3731,-29.9061,-29.9458,-29.9711,-29.9769,-29.9772,-29.9822,-29.9964,-30.0022,-30.1939,-30.2033,-30.2867,-30.3503,-30.5069,-30.5528,-30.6783,-30.6958,-30.7025,-30.8178,-30.8547,-30.9033,-31.0078,-31.0181,-31.0325,-31.1119,-31.5503,-31.5608,-31.645,-31.9,-31.9322,-32.0067,-32.1086,-32.3408,-32.8444,-32.8503,-32.8603,-32.8958,-32.9578,-33.0194,-33.0758,-33.0986,-33.145,-33.3414,-33.3703,-33.395,-33.4386,-33.4975,-33.5017,-33.5722,-33.6658,-33.6736,-33.6767,-33.6803,-33.8164,-33.8858,-33.8994,-34.0556,-34.4217,-34.4369,-34.7675,-34.7694,-34.8911,-34.9811,-35.1833,-35.3242,-35.3725,-35.4006,-35.4358,-35.4525,-35.6381,-35.7061,-35.8381,-35.85,-35.8842,-35.9106,-35.9697,-36.0106,-36.1878,-36.2558,-36.2933,-36.6408,-36.6511,-36.6583,-36.8686,-37.1589,-37.685,-37.7131,-37.7794,-37.8172,-37.8233,-37.9583,-38.0186,-38.0442,-38.2008,-38.2156,-38.2561,-38.4536,-38.4631,-38.4703,-38.5186,-38.6517,-38.6839,-38.7128,-38.7425,-38.7886,-38.8506,-38.9269,-38.9592,-39.0278,-39.2367,-39.2753,-39.3581,-39.5192,-39.8103,-39.8747,-40.3172,-40.5883,-40.6553,-41.2269,-41.4911,-42.4581,-42.6228,-43.7717,-43.9708,-44.2394,-44.3228,-44.4975,-44.6472,-44.7278,-45.1553,-45.1733,-45.2669,-45.2706,-45.3719,-45.4006,-45.4803,-45.5511,-45.5739,-46.2692,-46.2892,-46.4619,-46.5436,-46.8428,-47.1378,-47.1414,-47.2442,-47.3392,-47.7997,-48.1592,-48.2083,-48.4692,-48.5169,-48.8347,-48.8775,-49.1228,-50.8228,-50.8789,-50.8986,-51.0508,-51.1842,-51.26,-51.7336,-52.1644,-52.2092,-52.2094,-52.3161,-52.4414,-52.5486,-52.5492,-52.8675,-52.8697,-52.8819,-52.9964,-53.1233,-53.125,-53.2908,-53.3056,-53.3217,-53.7594,-53.8967,-54.0497,-54.9469,-18.3514,-20.5397,-23.4503,-27.2639,-29.9175,-33.445,-34.9664,-36.5872,-36.7792,-38.77,-39.6506,-40.605,-41.435,-45.3961,-45.5939,-45.9128,-46.5808,-47.2439,-53.0033,-54.9317,-62.1997,-22.4953,-27.1606,-33.3919,-33.4544,-33.6367,-33.655,-37.4028,-42.9303,-43.1889,-43.6117,-51.6672,-53.1875
longitud,-69.6994,-69.2017,-69.5092,-69.5589,-69.5603,-69.2683,-69.3214,-69.1833,-69.5519,-70.1692,-70.3208,-70.2936,-69.1547,-70.2842,-70.1806,-70.1642,-69.0844,-70.15,-69.7439,-70.1269,-68.6378,-68.8369,-68.8075,-69.2703,-69.7497,-68.8861,-69.3814,-68.6942,-69.0456,-68.6275,-68.2494,-68.3386,-68.6611,-69.5358,-68.2756,-68.5175,-68.3128,-68.6242,-68.6208,-68.0661,-68.0228,-68.2881,-68.1733,-68.3183,-68.2028,-68.2122,-68.6367,-68.0133,-69.6225,-68.9044,-69.3219,-68.2003,-67.9978,-69.8397,-67.8925,-70.3867,-68.0581,-68.4353,-69.9633,-70.3308,-70.1119,-70.0033,-70.7811,-69.8808,-71.1931,-71.0806,-70.8081,-70.7572,-70.045,-70.6625,-70.2822,-70.4614,-70.1106,-70.1533,-70.1986,-71.1181,-71.2556,-70.5328,-70.0928,-70.0944,-70.5617,-70.9186,-70.8556,-71.2592,-70.4819,-70.0422,-70.6961,-70.77,-71.0997,-71.1642,-71.53,-71.0361,-70.9178,-70.9706,-70.7708,-70.5158,-71.0856,-70.5858,-71.0403,-70.885,-70.8353,-70.9644,-71.1908,-70.6706,-71.1361,-70.3214,-71.3125,-70.7528,-70.1108,-70.5094,-70.4719,-71.2092,-71.345,-70.9081,-70.7686,-71.2144,-71.5553,-70.3636,-70.4508,-70.5367,-71.0256,-70.6142,-70.5144,-70.1283,-70.1078,-70.5869,-70.0886,-71.1997,-70.2172,-70.8775,-70.1981,-70.7083,-70.8667,-70.7794,-72.065,-71.1331,-70.3297,-71.2361,-71.0978,-72.4089,-71.8325,-71.7833,-71.6197,-71.7333,-71.2606,-71.1139,-71.5953,-71.0667,-71.0192,-71.2958,-70.5719,-70.5589,-71.8283,-71.5481,-70.9181,-71.7989,-71.395,-71.3278,-71.6425,-71.2425,-72.0058,-71.8172,-72.6372,-72.65,-72.9606,-72.4256,-73.23,-72.4611,-71.2989,-71.8106,-72.6536,-71.3742,-71.6992,-71.5753,-72.4522,-71.0919,-72.0,-72.5558,-72.59,-73.3936,-71.55,-72.0125,-72.6083,-73.0781,-71.8356,-71.9503,-71.5744,-71.5478,-73.2517,-71.8897,-72.4692,-73.1069,-72.1844,-72.5681,-72.8958,-73.7744,-73.7728,-72.9547,-72.4056,-71.8461,-72.5597,-71.3064,-71.6736,-72.6814,-73.5164,-72.1478,-71.5292,-71.7092,-71.9822,-72.7,-71.6044,-72.0589,-72.0286,-71.9908,-71.9336,-72.6686,-71.7089,-72.7008,-73.0869,-72.7258,-72.5831,-73.1147,-73.5358,-73.0889,-72.3228,-72.5589,-72.5953,-74.1831,-72.7394,-74.4069,-73.1125,-72.7328,-72.3314,-72.5169,-72.9669,-72.3272,-72.4781,-69.6078,-71.6806,-72.4783,-69.6881,-71.4022,-71.9603,-71.9747,-69.9,-69.9319,-71.5706,-71.8706,-70.8772,-70.9358,-70.37,-69.2675,-68.6614,-69.1892,-68.9183,-68.7997,-67.6392,-70.3358,-70.1786,-70.4411,-70.7742,-71.2011,-70.6828,-71.2167,-72.04,-73.0622,-72.6369,-73.0808,-73.0608,-73.0978,-72.6639,-72.1086,-71.6942,-71.6928,-72.5864,-70.845,-67.6156,-58.9642,-69.9044,-109.427,-70.7944,-70.5478,-78.835,-71.6142,-72.4225,-72.7008,-71.8525,-71.8053,-72.5289,-70.3203
codigo_cuenca,12,10,12,12,12,10,10,10,13,12,13,13,10,13,13,13,10,14,14,15,10,17,10,17,17,10,17,17,21,10,20,20,21,21,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,27,25,25,27,25,27,25,26,29,34,34,34,37,34,38,38,38,38,38,38,38,38,38,38,38,41,43,43,43,43,43,43,43,44,43,43,45,45,45,45,45,45,45,45,45,45,45,45,45,45,47,47,47,47,48,47,49,52,54,54,54,54,54,57,57,54,55,57,57,57,57,57,57,57,57,57,57,57,57,57,57,60,60,60,71,60,60,71,71,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,81,81,81,81,83,83,83,83,83,83,83,88,83,83,83,91,83,91,91,91,83,91,91,91,91,94,94,91,94,94,94,94,94,101,101,103,103,103,104,104,109,109,110,110,110,111,111,111,111,111,113,113,113,113,113,113,113,113,115,115,115,115,115,115,115,115,115,115,117,117,117,117,120,117,121,122,122,122,122,122,122,122,126,126,124,125,126,124,124,128,128,124,124,125,125,128,128,128,128,128,128,129,10,10,20,30,41,57,61,81,81,83,101,104,104,113,113,113,115,115,125,129,-1,20,50,57,57,50,50,81,104,104,104,122,128
